id,self,name,type
323,https://issues.apache.org/jira/rest/agile/1.0/board/323,Copy of Apache DLab,scrum
460,https://issues.apache.org/jira/rest/agile/1.0/board/460,Copy of AsterixDB,kanban
507,https://issues.apache.org/jira/rest/agile/1.0/board/507,Copy of Infrastructure,kanban
195,https://issues.apache.org/jira/rest/agile/1.0/board/195,Cordova Backlog by Component,kanban
109,https://issues.apache.org/jira/rest/agile/1.0/board/109,cordova fetch,kanban
101,https://issues.apache.org/jira/rest/agile/1.0/board/101,cordova-6.0.0,kanban
122,https://issues.apache.org/jira/rest/agile/1.0/board/122,cordova-android-6.0.x,kanban
198,https://issues.apache.org/jira/rest/agile/1.0/board/198,cordova-docs Next Release,kanban
131,https://issues.apache.org/jira/rest/agile/1.0/board/131,cordova-easyfix,kanban
173,https://issues.apache.org/jira/rest/agile/1.0/board/173,cordova-ios-4.5.0,kanban
179,https://issues.apache.org/jira/rest/agile/1.0/board/179,cordova-ios-4.5.1,kanban
86,https://issues.apache.org/jira/rest/agile/1.0/board/86,cordova-ios-5.0.x,kanban
477,https://issues.apache.org/jira/rest/agile/1.0/board/477,Credit Scorecard Module Board,kanban
256,https://issues.apache.org/jira/rest/agile/1.0/board/256,Databricks ML Alg OSS,kanban
368,https://issues.apache.org/jira/rest/agile/1.0/board/368,Default NLPCraft Kanban,kanban
108,https://issues.apache.org/jira/rest/agile/1.0/board/108,Docs-6.x,kanban
506,https://issues.apache.org/jira/rest/agile/1.0/board/506,Drill Current Release,kanban
363,https://issues.apache.org/jira/rest/agile/1.0/board/363,"Driver-S7, 0.6.1",scrum
443,https://issues.apache.org/jira/rest/agile/1.0/board/443,Ducktape,scrum
419,https://issues.apache.org/jira/rest/agile/1.0/board/419,Extended Protocol Support,scrum
32,https://issues.apache.org/jira/rest/agile/1.0/board/32,Fauxton,kanban
116,https://issues.apache.org/jira/rest/agile/1.0/board/116,filters,kanban
562,https://issues.apache.org/jira/rest/agile/1.0/board/562,Fineract Tickets Clean Up,kanban
324,https://issues.apache.org/jira/rest/agile/1.0/board/324,Flagon Kanban,kanban
135,https://issues.apache.org/jira/rest/agile/1.0/board/135,FLAGON SCRUM,scrum
45,https://issues.apache.org/jira/rest/agile/1.0/board/45,Flex Board,kanban
44,https://issues.apache.org/jira/rest/agile/1.0/board/44,Flex-BlazeDS Board,kanban
43,https://issues.apache.org/jira/rest/agile/1.0/board/43,Flex-FlexUnit Board,kanban
366,https://issues.apache.org/jira/rest/agile/1.0/board/366,Flink 1.11 Bugs,kanban
356,https://issues.apache.org/jira/rest/agile/1.0/board/356,"Flink 1.11.0 Usability ""Sprint""",kanban
406,https://issues.apache.org/jira/rest/agile/1.0/board/406,Flink 1.12 Burndown,kanban
445,https://issues.apache.org/jira/rest/agile/1.0/board/445,Flink 1.13 Burndown,kanban
468,https://issues.apache.org/jira/rest/agile/1.0/board/468,Flink 1.14 Burndown,kanban
505,https://issues.apache.org/jira/rest/agile/1.0/board/505,Flink 1.15 Burndown,kanban
561,https://issues.apache.org/jira/rest/agile/1.0/board/561,Flink 1.16 Burndown,kanban
607,https://issues.apache.org/jira/rest/agile/1.0/board/607,Flink CDC 3.2 Burndown,kanban
614,https://issues.apache.org/jira/rest/agile/1.0/board/614,Flink CDC 3.3 Burndown,kanban
476,https://issues.apache.org/jira/rest/agile/1.0/board/476,Flink on YARN,kanban
295,https://issues.apache.org/jira/rest/agile/1.0/board/295,Geode Benchmarks,scrum
267,https://issues.apache.org/jira/rest/agile/1.0/board/267,Geode Green Pipeline,kanban
333,https://issues.apache.org/jira/rest/agile/1.0/board/333,Geode Manageability V2,kanban
92,https://issues.apache.org/jira/rest/agile/1.0/board/92,Geode-Release,scrum
196,https://issues.apache.org/jira/rest/agile/1.0/board/196,Gobblin Team Board,scrum
621,https://issues.apache.org/jira/rest/agile/1.0/board/621,GoCQL 2.0.0,kanban
622,https://issues.apache.org/jira/rest/agile/1.0/board/622,GoCQL in progress,kanban
389,https://issues.apache.org/jira/rest/agile/1.0/board/389,Hadoop,scrum
170,https://issues.apache.org/jira/rest/agile/1.0/board/170,HBase Review Queue,scrum
260,https://issues.apache.org/jira/rest/agile/1.0/board/260,HDDS Kanban,kanban
261,https://issues.apache.org/jira/rest/agile/1.0/board/261,HDDS Scrum,scrum
18,https://issues.apache.org/jira/rest/agile/1.0/board/18,Helix Agile SCRUM,scrum
425,https://issues.apache.org/jira/rest/agile/1.0/board/425,Hop Board,kanban
584,https://issues.apache.org/jira/rest/agile/1.0/board/584,Hudi 1.0 ,kanban
451,https://issues.apache.org/jira/rest/agile/1.0/board/451,Hudi Continuous Improvement,kanban
487,https://issues.apache.org/jira/rest/agile/1.0/board/487,Ignite Core,kanban
123,https://issues.apache.org/jira/rest/agile/1.0/board/123,ijkukiu,scrum
178,https://issues.apache.org/jira/rest/agile/1.0/board/178,Impala Ramp-Up Tasks,kanban
199,https://issues.apache.org/jira/rest/agile/1.0/board/199,Indexing Improvements 1.8,scrum
25,https://issues.apache.org/jira/rest/agile/1.0/board/25,Infrastructure,kanban
394,https://issues.apache.org/jira/rest/agile/1.0/board/394,ingestion_2020,scrum
192,https://issues.apache.org/jira/rest/agile/1.0/board/192,ios-next,kanban
512,https://issues.apache.org/jira/rest/agile/1.0/board/512,IoTDB 0.13.0,scrum
513,https://issues.apache.org/jira/rest/agile/1.0/board/513,IoTDB 0.13.0 release,scrum
547,https://issues.apache.org/jira/rest/agile/1.0/board/547,IoTDB QA issues,kanban
612,https://issues.apache.org/jira/rest/agile/1.0/board/612,James,kanban
221,https://issues.apache.org/jira/rest/agile/1.0/board/221,Java Chassis,kanban
30,https://issues.apache.org/jira/rest/agile/1.0/board/30,jbellis,kanban
471,https://issues.apache.org/jira/rest/agile/1.0/board/471,JEXL Scrum,scrum
177,https://issues.apache.org/jira/rest/agile/1.0/board/177,Kanban Traffic Control All,kanban
246,https://issues.apache.org/jira/rest/agile/1.0/board/246,kanban_griffin,kanban
421,https://issues.apache.org/jira/rest/agile/1.0/board/421,Liminal,kanban
608,https://issues.apache.org/jira/rest/agile/1.0/board/608,Livy Kanban,kanban
146,https://issues.apache.org/jira/rest/agile/1.0/board/146,LRMA,scrum
280,https://issues.apache.org/jira/rest/agile/1.0/board/280,Mesos CLI Board,kanban
63,https://issues.apache.org/jira/rest/agile/1.0/board/63,Mesos Community Triage Board,kanban
128,https://issues.apache.org/jira/rest/agile/1.0/board/128,Metron Agile Board,scrum
321,https://issues.apache.org/jira/rest/agile/1.0/board/321,Mina,scrum
405,https://issues.apache.org/jira/rest/agile/1.0/board/405,MiNiFi-CPP-Hygiene,kanban
391,https://issues.apache.org/jira/rest/agile/1.0/board/391,MINIFICPP Kanban Board,kanban
